subject,predicate,value
CDNO:0200050,rdfs:label,concentration of aspartic acid in material entity
CDNO:0200051,rdfs:label,concentration of cysteine in material entity
CDNO:0200052,rdfs:label,concentration of glutamic acid in material entity
CDNO:0200053,rdfs:label,concentration of glutamine in material entity
CDNO:0200054,rdfs:label,concentration of glycine in material entity
CDNO:0200055,rdfs:label,concentration of histidine in material entity
CDNO:0200056,rdfs:label,concentration of hydroxyproline in material entity
CDNO:0200057,rdfs:label,concentration of isoleucine in material entity
CDNO:0200058,rdfs:label,concentration of leucine in material entity
CDNO:0200059,rdfs:label,concentration of lysine in material entity
CDNO:0200060,rdfs:label,concentration of methionine in material entity
CDNO:0200061,rdfs:label,concentration of phenylalanine in material entity
CDNO:0200062,rdfs:label,concentration of proline in material entity
CDNO:0200063,rdfs:label,concentration of serine in material entity
CDNO:0200064,rdfs:label,concentration of threonine in material entity
CDNO:0200065,rdfs:label,concentration of tryptophan in material entity
CDNO:0200066,rdfs:label,concentration of tyrosine in material entity
CDNO:0200067,rdfs:label,concentration of valine in material entity
CDNO:0200068,rdfs:label,concentration of lipid in material entity
CDNO:0200069,rdfs:label,concentration of diglyceride in material entity
CDNO:0200070,rdfs:label,concentration of cis-fatty acid in material entity
CDNO:0200071,rdfs:label,concentration of octanoic acid in material entity
CDNO:0200072,rdfs:label,concentration of pentadecanoic acid in material entity
CDNO:0200073,rdfs:label,concentration of tetracosanoic acid in material entity
CDNO:0200074,rdfs:label,concentration of dodecanoic acid in material entity
CDNO:0200075,rdfs:label,concentration of tetradecanoic acid in material entity
CDNO:0200076,rdfs:label,concentration of hexadecanoic acid in material entity
CDNO:0200077,rdfs:label,concentration of heptadecanoic acid in material entity
CDNO:0200078,rdfs:label,concentration of octadecanoic acid in material entity
CDNO:0200079,rdfs:label,concentration of icosanoic acid in material entity
CDNO:0200080,rdfs:label,concentration of docosanoic acid in material entity
CDNO:0200082,rdfs:label,concentration of propionic acid in material entity
CDNO:0200083,rdfs:label,concentration of myristoleic acid in material entity
CDNO:0200084,rdfs:label,concentration of palmitoleic acid in material entity
CDNO:0200085,rdfs:label,concentration of oleic acid in material entity
CDNO:0200086,rdfs:label,concentration of palmitelaidic acid in material entity
CDNO:0200087,rdfs:label,concentration of elaidic acid in material entity
CDNO:0200088,rdfs:label,concentration of vaccenic acid in material entity
CDNO:0200089,rdfs:label,concentration of (11Z)-icos-11-enoic acid in material entity
CDNO:0200090,rdfs:label,concentration of erucic acid in material entity
CDNO:0200091,rdfs:label,concentration of (15Z)-tetracosenoic acid in material entity
CDNO:0200092,rdfs:label,concentration of ω−3 fatty acid in material entity
CDNO:0200093,rdfs:label,"concentration of all-cis-octadeca-6,9,12,15-tetraenoic acid in material entity"
CDNO:0200094,rdfs:label,"concentration of all-cis-icosa-11,14,17-trienoic acid in material entity"
CDNO:0200095,rdfs:label,concentration of eicosatetraenoic acid in material entity
CDNO:0200096,rdfs:label,"concentration of 6Z,9Z,12Z,15Z,18Z,21Z-tetracosahexaenoic acid in material entity"
CDNO:0200097,rdfs:label,concentration of α-linolenic acid in material entity
CDNO:0200098,rdfs:label,concentration of icosapentaenoic acid in material entity
CDNO:0200099,rdfs:label,concentration of docosapentaenoic acid in material entity
CDNO:0200100,rdfs:label,concentration of docosahexaenoic acid in material entity
CDNO:0200101,rdfs:label,"concentration of 9-hydroxy-5E,7Z,11Z,14Z-eicosatetraenoic acid in material entity"
CDNO:0200102,rdfs:label,concentration of linolenic acid in material entity
CDNO:0200103,rdfs:label,concentration of ω−6 fatty acid in material entity
CDNO:0200104,rdfs:label,concentration of linoleic acid in material entity
CDNO:0200105,rdfs:label,"concentration of all-cis-icosa-8,11,14-trienoic acid in material entity"
CDNO:0200106,rdfs:label,concentration of γ-linolenic acid in material entity
CDNO:0200107,rdfs:label,concentration of icosadienoic acid in material entity
CDNO:0200108,rdfs:label,concentration of arachidonic acid in material entity
CDNO:0200109,rdfs:label,concentration of docosadienoic acid in material entity
CDNO:0200110,rdfs:label,"concentration of 7,10,13,16-docosatetraenoic acid in material entity"
CDNO:0200111,rdfs:label,concentration of trans-fatty acid in material entity
CDNO:0200112,rdfs:label,concentration of capsaicin in material entity
CDNO:0200113,rdfs:label,concentration of phospholipid in material entity
CDNO:0200114,rdfs:label,concentration of phosphatidylcholine in material entity
